Simulation Results

planeCapacity,numberOfRows,spaceBetweenRows,seatsInHalfRow,numberOfPassengers,random result,aisle_to_window result,window_to_isle result,front_to_back result,back_to_front result,bestSeatingMode
114,19,3,3,56,140,170,134,239,88,"back_to_front"
114,19,3,3,84,189,246,131,331,131,"window_to_isle"
114,19,3,3,112,266,287,194,493,253,"window_to_isle"
152,19,3,4,38,128,140,86,160,79,"back_to_front"
76,19,4,2,19,71,87,94,107,52,"back_to_front"
76,19,4,2,38,130,121,111,160,88,"back_to_front"
76,19,4,2,57,150,143,133,212,107,"back_to_front"
76,19,4,2,76,177,198,175,289,107,"back_to_front"
114,19,4,3,28,97,124,105,136,101,"random"
114,19,4,3,56,168,169,158,233,111,"back_to_front"
114,19,4,3,84,228,249,158,339,127,"back_to_front"
114,19,4,3,112,259,279,186,476,187,"window_to_isle"
152,19,4,4,38,154,150,103,156,96,"back_to_front"
190,19,4,5,47,128,146,134,191,105,"back_to_front"
76,19,5,2,19,66,115,84,138,78,"random"
76,19,5,2,38,146,151,141,179,105,"back_to_front"
76,19,5,2,57,168,146,166,215,125,"back_to_front"
76,19,5,2,76,186,177,168,273,122,"back_to_front"
114,19,5,3,28,115,128,131,164,85,"back_to_front"
114,19,5,3,56,172,171,150,226,125,"back_to_front"
114,19,5,3,84,193,246,191,382,138,"back_to_front"
114,19,5,3,112,233,311,194,495,147,"back_to_front"
152,19,5,4,38,146,151,121,140,117,"back_to_front"
190,19,5,5,47,139,177,151,165,111,"back_to_front"
84,21,1,2,21,76,76,69,98,42,"back_to_front"
84,21,1,2,42,114,115,96,191,82,"back_to_front"
84,21,1,2,63,170,182,130,268,160,"window_to_isle"
84,21,1,2,84,174,230,156,390,270,"window_to_isle"
126,21,1,3,31,95,113,79,136,53,"back_to_front"
126,21,1,3,62,197,186,136,319,171,"window_to_isle"
126,21,1,3,93,257,297,173,445,350,"window_to_isle"
126,21,1,3,124,312,389,209,675,586,"window_to_isle"
168,21,1,4,42,121,121,97,212,91,"back_to_front"
168,21,1,4,84,219,256,145,450,262,"window_to_isle"
168,21,1,4,126,369,426,223,764,552,"window_to_isle"
168,21,1,4,168,502,693,269,1032,818,"window_to_isle"
84,21,2,2,21,81,81,88,106,64,"back_to_front"
84,21,2,2,42,106,116,94,169,70,"back_to_front"
84,21,2,2,63,144,135,141,258,91,"back_to_front"
84,21,2,2,84,183,203,151,340,174,"window_to_isle"
126,21,2,3,31,98,108,79,161,71,"back_to_front"
126,21,2,3,62,158,176,134,274,98,"back_to_front"
126,21,2,3,93,237,234,165,390,225,"window_to_isle"
126,21,2,3,124,255,327,205,625,367,"window_to_isle"
168,21,2,4,42,127,124,111,158,89,"back_to_front"
168,21,2,4,84,229,211,146,376,177,"window_to_isle"
210,21,2,5,52,161,123,118,225,81,"back_to_front"
84,21,3,2,21,80,74,85,96,86,"aisle_to_window"
84,21,3,2,42,116,116,119,139,83,"back_to_front"
84,21,3,2,63,166,180,126,240,95,"back_to_front"
84,21,3,2,84,166,202,170,326,133,"back_to_front"
126,21,3,3,31,71,139,111,133,76,"random"
126,21,3,3,62,146,185,141,273,107,"back_to_front"
126,21,3,3,93,221,243,166,391,147,"back_to_front"
126,21,3,3,124,298,316,197,568,251,"window_to_isle"
168,21,3,4,126,272,366,208,609,285,"window_to_isle"
168,21,3,4,168,349,434,252,847,523,"window_to_isle"
84,21,4,2,21,126,126,100,133,83,"back_to_front"
84,21,4,2,42,88,146,118,175,110,"random"
84,21,4,2,63,173,194,156,217,108,"back_to_front"
84,21,4,2,84,196,208,200,335,117,"back_to_front"
126,21,4,3,31,118,123,121,136,109,"back_to_front"
126,21,4,3,62,190,214,149,258,117,"back_to_front"
126,21,4,3,93,224,242,192,400,125,"back_to_front"
126,21,4,3,124,265,287,209,533,206,"back_to_front"
168,21,4,4,42,108,158,126,186,114,"random"
84,21,5,2,21,124,133,146,149,118,"back_to_front"
84,21,5,2,42,151,140,110,186,130,"window_to_isle"
84,21,5,2,63,159,147,164,221,140,"back_to_front"
84,21,5,2,84,228,232,208,294,136,"back_to_front"
126,21,5,3,31,129,134,143,181,103,"back_to_front"
126,21,5,3,62,178,173,176,245,148,"back_to_front"
126,21,5,3,93,241,262,189,400,156,"back_to_front"
126,21,5,3,124,259,317,203,539,178,"back_to_front"
168,21,5,4,42,162,160,106,191,138,"window_to_isle"
92,23,1,2,23,77,59,72,108,49,"back_to_front"
92,23,1,2,46,102,143,107,221,92,"back_to_front"
92,23,1,2,69,163,186,145,303,180,"window_to_isle"
92,23,1,2,92,228,234,172,397,272,"window_to_isle"
138,23,1,3,34,114,103,91,160,60,"back_to_front"
138,23,1,3,68,164,178,147,327,178,"window_to_isle"
138,23,1,3,102,231,285,184,512,351,"window_to_isle"
138,23,1,3,136,344,401,234,744,572,"window_to_isle"
184,23,1,4,46,123,127,108,217,86,"back_to_front"
184,23,1,4,92,260,306,162,488,339,"window_to_isle"
184,23,1,4,138,363,455,241,818,626,"window_to_isle"
184,23,1,4,184,443,664,291,1087,951,"window_to_isle"
92,23,2,2,23,112,84,90,99,68,"back_to_front"
92,23,2,2,46,127,152,122,178,81,"back_to_front"
92,23,2,2,69,142,202,147,294,114,"back_to_front"
92,23,2,2,92,200,197,168,358,193,"window_to_isle"
138,23,2,3,34,107,119,103,172,72,"back_to_front"
138,23,2,3,68,168,201,143,276,131,"back_to_front"
138,23,2,3,102,222,263,194,489,200,"window_to_isle"
138,23,2,3,136,304,354,212,610,368,"window_to_isle"
184,23,2,4,46,120,141,122,205,87,"back_to_front"
92,23,3,2,23,95,109,114,126,71,"back_to_front"
92,23,3,2,46,127,159,129,170,99,"back_to_front"
92,23,3,2,69,185,183,144,273,109,"back_to_front"
92,23,3,2,92,201,243,175,352,152,"back_to_front"
138,23,3,3,34,125,130,111,168,92,"back_to_front"
138,23,3,3,68,168,202,154,255,110,"back_to_front"
138,23,3,3,102,249,267,195,378,166,"back_to_front"
138,23,3,3,136,286,335,227,648,283,"window_to_isle"
184,23,3,4,46,152,168,118,196,100,"back_to_front"
184,23,3,4,92,226,199,181,365,145,"back_to_front"
92,23,4,2,23,140,121,103,110,95,"back_to_front"
92,23,4,2,46,131,165,150,178,126,"back_to_front"
92,23,4,2,69,146,203,188,263,116,"back_to_front"
92,23,4,2,92,227,225,213,375,124,"back_to_front"
138,23,4,3,34,122,147,108,186,118,"window_to_isle"
138,23,4,3,68,163,186,143,283,133,"back_to_front"
138,23,4,3,102,273,249,186,466,145,"back_to_front"
138,23,4,3,136,294,345,253,580,218,"back_to_front"
184,23,4,4,46,163,190,153,221,101,"back_to_front"
92,23,5,2,23,152,104,117,124,125,"aisle_to_window"
92,23,5,2,46,179,161,120,218,147,"window_to_isle"
92,23,5,2,69,195,197,187,255,138,"back_to_front"
92,23,5,2,92,219,208,208,341,150,"back_to_front"
138,23,5,3,34,88,142,109,133,91,"random"
138,23,5,3,68,217,229,208,321,129,"back_to_front"
138,23,5,3,102,231,282,197,440,157,"back_to_front"
138,23,5,3,136,287,337,244,577,177,"back_to_front"
100,25,1,2,25,85,82,85,146,53,"back_to_front"
100,25,1,2,50,132,127,107,216,101,"back_to_front"
100,25,1,2,75,188,188,151,336,178,"window_to_isle"
100,25,1,2,100,231,254,183,472,277,"window_to_isle"
150,25,1,3,37,110,119,96,182,68,"back_to_front"
150,25,1,3,74,188,215,151,344,200,"window_to_isle"
150,25,1,3,111,298,299,192,570,423,"window_to_isle"
150,25,1,3,148,337,461,239,796,617,"window_to_isle"
200,25,1,4,50,163,154,110,230,101,"back_to_front"
200,25,1,4,100,278,309,186,542,363,"window_to_isle"
200,25,1,4,150,386,475,253,901,668,"window_to_isle"
200,25,1,4,200,521,702,331,1212,1016,"window_to_isle"
250,25,1,5,62,186,195,135,296,120,"back_to_front"
250,25,1,5,124,354,389,221,705,523,"window_to_isle"
100,25,2,2,25,109,112,104,115,81,"back_to_front"
100,25,2,2,50,137,140,105,195,88,"back_to_front"
100,25,2,2,75,177,187,141,322,114,"back_to_front"
100,25,2,2,100,224,241,177,402,199,"window_to_isle"
150,25,2,3,37,119,107,115,155,77,"back_to_front"
150,25,2,3,74,165,212,170,329,123,"back_to_front"
150,25,2,3,111,254,279,195,512,267,"window_to_isle"
150,25,2,3,148,303,363,237,697,420,"window_to_isle"
200,25,2,4,50,160,163,134,218,82,"back_to_front"
200,25,2,4,100,244,267,176,433,214,"window_to_isle"
250,25,2,5,62,147,180,137,261,104,"back_to_front"
100,25,3,2,25,118,107,92,121,69,"back_to_front"
100,25,3,2,50,163,159,154,180,102,"back_to_front"
100,25,3,2,75,201,202,163,293,116,"back_to_front"
100,25,3,2,100,220,230,168,365,153,"back_to_front"
150,25,3,3,37,151,121,102,176,109,"window_to_isle"
150,25,3,3,74,188,203,167,293,115,"back_to_front"
150,25,3,3,111,271,287,196,494,195,"back_to_front"
150,25,3,3,148,287,363,252,702,345,"window_to_isle"
200,25,3,4,50,145,161,129,211,112,"back_to_front"
200,25,3,4,100,216,237,200,426,155,"back_to_front"
100,25,4,2,25,132,73,103,168,124,"aisle_to_window"
100,25,4,2,50,123,146,160,192,134,"random"
100,25,4,2,75,212,218,174,284,131,"back_to_front"
100,25,4,2,100,238,260,209,367,137,"back_to_front"
150,25,4,3,37,137,162,156,171,123,"back_to_front"
150,25,4,3,74,188,222,186,341,134,"back_to_front"
150,25,4,3,111,284,278,223,468,164,"back_to_front"
150,25,4,3,148,293,355,271,614,228,"back_to_front"
100,25,5,2,25,140,90,147,119,126,"aisle_to_window"
100,25,5,2,50,201,154,171,231,145,"back_to_front"
100,25,5,2,75,181,174,219,280,158,"back_to_front"
100,25,5,2,100,260,279,221,358,158,"back_to_front"
150,25,5,3,37,155,177,173,149,153,"front_to_back"
150,25,5,3,74,238,245,184,327,154,"back_to_front"
150,25,5,3,111,238,276,267,461,169,"back_to_front"
150,25,5,3,148,312,353,254,636,213,"back_to_front"
200,25,5,4,50,216,203,144,215,141,"back_to_front"
108,27,1,2,27,85,96,81,160,60,"back_to_front"
108,27,1,2,54,157,145,116,247,87,"back_to_front"
108,27,1,2,81,182,218,164,352,204,"window_to_isle"
108,27,1,2,108,211,273,189,493,347,"window_to_isle"
162,27,1,3,40,130,137,108,211,85,"back_to_front"
162,27,1,3,80,184,225,159,368,209,"window_to_isle"
162,27,1,3,120,276,324,205,640,435,"window_to_isle"
162,27,1,3,160,392,431,266,869,707,"window_to_isle"
216,27,1,4,54,157,157,115,261,94,"back_to_front"
216,27,1,4,108,281,323,203,512,386,"window_to_isle"
216,27,1,4,162,408,491,258,928,723,"window_to_isle"
216,27,1,4,216,581,718,337,1331,1095,"window_to_isle"
108,27,2,2,27,105,111,104,151,84,"back_to_front"
108,27,2,2,54,159,166,138,203,89,"back_to_front"
108,27,2,2,81,201,187,174,297,118,"back_to_front"
108,27,2,2,108,240,247,184,424,208,"window_to_isle"
162,27,2,3,40,138,122,117,170,86,"back_to_front"
162,27,2,3,80,171,210,165,331,137,"back_to_front"
162,27,2,3,120,264,291,200,562,306,"window_to_isle"
162,27,2,3,160,340,407,237,750,501,"window_to_isle"
108,27,3,2,27,122,90,94,130,95,"aisle_to_window"
108,27,3,2,54,153,159,132,204,113,"back_to_front"
108,27,3,2,81,201,204,195,307,120,"back_to_front"
108,27,3,2,108,225,281,212,407,159,"back_to_front"
162,27,3,3,40,121,157,120,181,112,"back_to_front"
162,27,3,3,80,189,214,184,289,117,"back_to_front"
162,27,3,3,120,278,270,243,536,180,"back_to_front"
162,27,3,3,160,337,400,296,698,378,"window_to_isle"
216,27,3,4,54,153,188,163,237,127,"back_to_front"
108,27,4,2,27,114,156,137,169,116,"random"
108,27,4,2,54,181,185,196,209,141,"back_to_front"
108,27,4,2,81,227,233,201,293,141,"back_to_front"
108,27,4,2,108,228,243,209,390,150,"back_to_front"
162,27,4,3,40,146,169,168,203,77,"back_to_front"
162,27,4,3,80,208,223,194,335,136,"back_to_front"
162,27,4,3,120,288,329,254,505,164,"back_to_front"
162,27,4,3,160,318,395,250,704,268,"window_to_isle"
216,27,4,4,54,177,195,166,241,122,"back_to_front"
108,27,5,2,27,92,118,164,192,173,"random"
108,27,5,2,54,169,169,183,201,162,"back_to_front"
108,27,5,2,81,233,236,224,328,171,"back_to_front"
108,27,5,2,108,266,301,240,475,174,"back_to_front"
162,27,5,3,40,182,173,172,209,156,"back_to_front"
162,27,5,3,80,203,251,229,293,183,"back_to_front"
162,27,5,3,120,258,287,265,482,193,"back_to_front"
216,27,5,4,54,214,212,197,197,158,"back_to_front"
116,29,1,2,29,89,93,94,145,60,"back_to_front"
116,29,1,2,58,148,176,136,269,104,"back_to_front"
116,29,1,2,87,232,212,171,394,226,"window_to_isle"
116,29,1,2,116,253,283,213,534,341,"window_to_isle"
174,29,1,3,43,129,144,117,196,74,"back_to_front"
174,29,1,3,86,221,235,164,381,254,"window_to_isle"
174,29,1,3,129,306,387,221,662,436,"window_to_isle"
174,29,1,3,172,406,483,280,936,714,"window_to_isle"
232,29,1,4,58,170,190,136,259,112,"back_to_front"
232,29,1,4,116,271,338,208,624,425,"window_to_isle"
232,29,1,4,174,394,508,279,941,827,"window_to_isle"
232,29,1,4,232,587,746,360,1504,1180,"window_to_isle"
290,29,1,5,72,185,234,155,332,160,"window_to_isle"
116,29,2,2,29,110,111,101,137,92,"back_to_front"
116,29,2,2,58,145,169,140,239,85,"back_to_front"
116,29,2,2,87,186,195,174,337,132,"back_to_front"
116,29,2,2,116,238,274,212,461,221,"window_to_isle"
174,29,2,3,43,115,148,120,204,98,"back_to_front"
174,29,2,3,86,213,217,181,356,130,"back_to_front"
174,29,2,3,129,307,317,214,562,335,"window_to_isle"
174,29,2,3,172,379,405,303,815,507,"window_to_isle"
232,29,2,4,58,184,185,135,254,103,"back_to_front"
232,29,2,4,116,272,311,216,542,287,"window_to_isle"
116,29,3,2,29,143,129,127,164,114,"back_to_front"
116,29,3,2,58,179,171,145,244,115,"back_to_front"
116,29,3,2,87,223,229,197,325,128,"back_to_front"
116,29,3,2,116,244,257,227,479,171,"back_to_front"
174,29,3,3,43,161,180,130,206,119,"back_to_front"
174,29,3,3,86,217,257,180,326,142,"back_to_front"
174,29,3,3,129,287,315,249,533,194,"back_to_front"
174,29,3,3,172,367,422,295,820,370,"window_to_isle"
232,29,3,4,58,183,186,143,265,121,"back_to_front"
290,29,3,5,72,181,213,161,310,136,"back_to_front"
116,29,4,2,29,142,149,115,167,139,"window_to_isle"
116,29,4,2,58,179,197,188,266,154,"back_to_front"
116,29,4,2,87,209,217,240,336,158,"back_to_front"
116,29,4,2,116,261,295,236,445,154,"back_to_front"
174,29,4,3,43,176,171,163,224,94,"back_to_front"
174,29,4,3,86,228,249,243,338,160,"back_to_front"
174,29,4,3,129,297,344,271,527,177,"back_to_front"
174,29,4,3,172,399,389,306,747,288,"back_to_front"
232,29,4,4,58,187,200,191,270,157,"back_to_front"
116,29,5,2,29,140,190,186,172,172,"random"
116,29,5,2,58,184,225,149,289,123,"back_to_front"
116,29,5,2,87,283,218,249,333,171,"back_to_front"
116,29,5,2,116,287,308,277,436,187,"back_to_front"
174,29,5,3,43,160,207,155,236,188,"window_to_isle"
174,29,5,3,86,257,297,246,372,178,"back_to_front"
174,29,5,3,129,300,349,285,543,186,"back_to_front"
174,29,5,3,172,345,449,308,754,222,"back_to_front"
232,29,5,4,58,201,231,231,281,165,"back_to_front"
124,31,1,2,31,100,99,103,163,66,"back_to_front"
124,31,1,2,62,169,171,143,297,105,"back_to_front"
124,31,1,2,93,209,237,185,406,238,"window_to_isle"
124,31,1,2,124,303,323,217,559,371,"window_to_isle"
186,31,1,3,46,133,145,113,215,76,"back_to_front"
186,31,1,3,92,208,242,186,426,227,"window_to_isle"
186,31,1,3,138,310,338,242,687,499,"window_to_isle"
186,31,1,3,184,442,491,304,1003,772,"window_to_isle"
248,31,1,4,62,161,201,132,289,104,"back_to_front"
248,31,1,4,124,298,375,215,631,446,"window_to_isle"
248,31,1,4,186,460,541,299,1054,795,"window_to_isle"
248,31,1,4,248,600,812,381,1562,1292,"window_to_isle"
310,31,1,5,77,223,214,147,425,174,"window_to_isle"
124,31,2,2,31,120,98,105,168,92,"back_to_front"
124,31,2,2,62,154,184,166,244,99,"back_to_front"
124,31,2,2,93,229,229,188,345,123,"back_to_front"
124,31,2,2,124,255,266,224,489,265,"window_to_isle"
186,31,2,3,46,153,169,143,183,94,"back_to_front"
186,31,2,3,92,214,244,173,379,150,"back_to_front"
186,31,2,3,138,309,358,237,627,351,"window_to_isle"
186,31,2,3,184,389,448,282,824,563,"window_to_isle"
248,31,2,4,248,589,666,377,1404,1064,"window_to_isle"
124,31,3,2,31,141,159,117,186,112,"back_to_front"
124,31,3,2,62,177,173,183,254,120,"back_to_front"
124,31,3,2,93,236,239,233,312,140,"back_to_front"
124,31,3,2,124,277,301,248,488,187,"back_to_front"
186,31,3,3,46,175,155,181,206,123,"back_to_front"
186,31,3,3,92,260,241,197,378,138,"back_to_front"
186,31,3,3,138,303,373,268,570,251,"back_to_front"
186,31,3,3,184,384,429,307,901,454,"window_to_isle"
248,31,3,4,62,190,193,179,280,131,"back_to_front"
124,31,4,2,31,156,133,172,187,97,"back_to_front"
124,31,4,2,62,181,194,202,306,165,"back_to_front"
124,31,4,2,93,257,254,238,329,160,"back_to_front"
124,31,4,2,124,300,307,261,431,166,"back_to_front"
186,31,4,3,46,164,204,138,215,123,"back_to_front"
186,31,4,3,92,262,259,174,352,160,"back_to_front"
186,31,4,3,138,322,367,268,558,188,"back_to_front"
186,31,4,3,184,428,417,327,748,336,"window_to_isle"
124,31,5,2,31,188,205,195,129,189,"front_to_back"
124,31,5,2,62,246,217,232,272,180,"back_to_front"
124,31,5,2,93,232,307,216,377,189,"back_to_front"
124,31,5,2,124,287,299,292,443,202,"back_to_front"
186,31,5,3,46,160,217,215,244,148,"back_to_front"
186,31,5,3,92,271,278,227,373,191,"back_to_front"
186,31,5,3,138,292,323,279,553,201,"back_to_front"
186,31,5,3,184,372,499,335,715,244,"back_to_front"
132,33,1,2,33,126,113,99,177,72,"back_to_front"
132,33,1,2,66,157,203,134,299,109,"back_to_front"
132,33,1,2,99,252,242,187,460,257,"window_to_isle"
132,33,1,2,132,275,328,244,615,395,"window_to_isle"
198,33,1,3,49,134,159,138,243,73,"back_to_front"
198,33,1,3,98,204,265,190,473,282,"window_to_isle"
198,33,1,3,147,309,393,240,732,557,"window_to_isle"
198,33,1,3,196,438,547,325,1042,842,"window_to_isle"
264,33,1,4,66,169,190,161,337,124,"back_to_front"
264,33,1,4,132,294,387,229,710,482,"window_to_isle"
264,33,1,4,198,436,572,316,1180,903,"window_to_isle"
264,33,1,4,264,687,787,408,1609,1391,"window_to_isle"
132,33,2,2,33,107,137,125,143,98,"back_to_front"
132,33,2,2,66,179,176,169,287,104,"back_to_front"
132,33,2,2,99,217,225,208,383,143,"back_to_front"
132,33,2,2,132,259,285,230,510,253,"window_to_isle"
198,33,2,3,49,167,167,157,225,115,"back_to_front"
198,33,2,3,98,246,282,184,444,177,"back_to_front"
198,33,2,3,147,340,340,267,654,356,"window_to_isle"
198,33,2,3,196,410,478,327,928,584,"window_to_isle"
264,33,2,4,66,179,222,160,258,111,"back_to_front"
264,33,2,4,132,313,343,257,597,305,"window_to_isle"
132,33,3,2,33,139,143,122,180,133,"window_to_isle"
132,33,3,2,66,201,193,170,264,128,"back_to_front"
132,33,3,2,99,260,249,212,374,139,"back_to_front"
132,33,3,2,132,290,282,264,475,201,"back_to_front"
198,33,3,3,49,157,141,171,229,132,"back_to_front"
198,33,3,3,98,219,262,230,391,154,"back_to_front"
198,33,3,3,147,301,357,270,555,254,"back_to_front"
198,33,3,3,196,397,440,342,855,399,"window_to_isle"
264,33,3,4,66,171,218,165,288,150,"back_to_front"
132,33,4,2,33,197,202,193,211,147,"back_to_front"
132,33,4,2,66,224,239,211,276,153,"back_to_front"
132,33,4,2,99,246,297,230,405,162,"back_to_front"
132,33,4,2,132,293,359,299,475,174,"back_to_front"
198,33,4,3,49,177,193,172,252,144,"back_to_front"
198,33,4,3,98,281,269,232,400,172,"back_to_front"
198,33,4,3,147,331,336,319,606,203,"back_to_front"
198,33,4,3,196,415,444,338,852,327,"back_to_front"
132,33,5,2,33,119,229,179,203,90,"back_to_front"
132,33,5,2,66,222,238,260,291,175,"back_to_front"
132,33,5,2,99,270,307,253,353,197,"back_to_front"
132,33,5,2,132,323,327,314,506,207,"back_to_front"
198,33,5,3,49,216,213,229,219,159,"back_to_front"
198,33,5,3,98,242,287,222,399,203,"back_to_front"
198,33,5,3,147,335,370,307,628,204,"back_to_front"
198,33,5,3,196,434,476,365,879,244,"back_to_front"
140,35,1,2,35,119,130,110,192,75,"back_to_front"
140,35,1,2,70,179,186,156,312,103,"back_to_front"
140,35,1,2,105,218,260,196,473,277,"window_to_isle"
140,35,1,2,140,286,326,232,652,416,"window_to_isle"
210,35,1,3,52,129,180,136,242,80,"back_to_front"
210,35,1,3,104,241,273,204,524,329,"window_to_isle"
210,35,1,3,156,376,384,280,816,560,"window_to_isle"
210,35,1,3,208,479,584,345,1132,921,"window_to_isle"
280,35,1,4,70,184,208,155,349,109,"back_to_front"
280,35,1,4,140,316,461,257,788,481,"window_to_isle"
280,35,1,4,210,497,557,353,1241,1063,"window_to_isle"
280,35,1,4,280,689,860,432,1746,1450,"window_to_isle"
350,35,1,5,87,231,231,185,504,205,"window_to_isle"
140,35,2,2,35,138,119,115,173,108,"back_to_front"
140,35,2,2,70,192,199,173,261,114,"back_to_front"
140,35,2,2,105,259,265,213,428,147,"back_to_front"
140,35,2,2,140,298,286,246,573,269,"window_to_isle"
210,35,2,3,52,163,174,141,224,113,"back_to_front"
210,35,2,3,104,247,286,218,459,145,"back_to_front"
210,35,2,3,156,360,371,281,687,375,"window_to_isle"
210,35,2,3,208,461,495,340,1004,580,"window_to_isle"
280,35,2,4,210,457,523,356,1072,658,"window_to_isle"
140,35,3,2,35,137,162,165,188,122,"back_to_front"
140,35,3,2,70,222,215,165,290,149,"back_to_front"
140,35,3,2,105,241,250,226,389,152,"back_to_front"
140,35,3,2,140,296,356,275,523,203,"back_to_front"
210,35,3,3,52,166,188,162,268,153,"back_to_front"
210,35,3,3,104,290,275,218,415,159,"back_to_front"
210,35,3,3,156,362,386,320,655,248,"back_to_front"
210,35,3,3,208,451,463,371,945,462,"window_to_isle"
280,35,3,4,140,345,384,290,610,230,"back_to_front"
140,35,4,2,35,105,218,130,220,179,"random"
140,35,4,2,70,219,206,203,292,159,"back_to_front"
140,35,4,2,105,258,266,266,396,182,"back_to_front"
140,35,4,2,140,311,332,314,537,186,"back_to_front"
210,35,4,3,52,226,227,173,252,178,"window_to_isle"
210,35,4,3,104,267,297,253,424,181,"back_to_front"
210,35,4,3,156,368,377,294,635,204,"back_to_front"
210,35,4,3,208,421,471,384,912,361,"back_to_front"
140,35,5,2,35,165,221,165,186,152,"back_to_front"
140,35,5,2,70,228,279,253,329,223,"back_to_front"
140,35,5,2,105,269,327,306,380,214,"back_to_front"
140,35,5,2,140,341,382,356,501,218,"back_to_front"
210,35,5,3,52,235,280,201,268,203,"window_to_isle"
210,35,5,3,104,278,285,281,421,222,"back_to_front"
210,35,5,3,156,383,391,348,643,229,"back_to_front"
210,35,5,3,208,489,470,374,887,268,"back_to_front"
148,37,1,2,37,115,130,110,196,81,"back_to_front"
148,37,1,2,74,210,226,144,347,119,"back_to_front"
148,37,1,2,111,244,268,211,518,299,"window_to_isle"
148,37,1,2,148,316,322,262,678,466,"window_to_isle"
222,37,1,3,55,152,176,142,257,94,"back_to_front"
222,37,1,3,110,255,306,205,556,306,"window_to_isle"
222,37,1,3,165,368,456,284,832,600,"window_to_isle"
222,37,1,3,220,497,565,353,1159,942,"window_to_isle"
296,37,1,4,74,228,209,163,333,115,"back_to_front"
296,37,1,4,148,361,442,253,758,530,"window_to_isle"
296,37,1,4,222,528,618,346,1242,970,"window_to_isle"
296,37,1,4,296,753,943,466,1913,1657,"window_to_isle"
148,37,2,2,37,145,139,121,158,93,"back_to_front"
148,37,2,2,74,181,220,179,310,115,"back_to_front"
148,37,2,2,111,231,259,236,431,151,"back_to_front"
148,37,2,2,148,322,340,260,602,282,"window_to_isle"
222,37,2,3,55,182,176,144,243,117,"back_to_front"
222,37,2,3,110,266,283,242,527,154,"back_to_front"
222,37,2,3,165,342,390,298,710,381,"window_to_isle"
222,37,2,3,220,465,539,370,1055,647,"window_to_isle"
296,37,2,4,222,456,547,366,1121,729,"window_to_isle"
296,37,2,4,296,631,732,439,1649,1289,"window_to_isle"
148,37,3,2,37,180,154,141,192,140,"back_to_front"
148,37,3,2,74,213,241,218,320,156,"back_to_front"
148,37,3,2,111,277,273,239,423,162,"back_to_front"
148,37,3,2,148,345,340,278,536,215,"back_to_front"
222,37,3,3,55,160,218,191,262,142,"back_to_front"
222,37,3,3,110,262,270,266,452,158,"back_to_front"
222,37,3,3,165,328,394,304,717,254,"back_to_front"
222,37,3,3,220,473,472,371,979,490,"window_to_isle"
148,37,4,2,37,197,223,168,165,107,"back_to_front"
148,37,4,2,74,257,224,242,319,172,"back_to_front"
148,37,4,2,111,309,304,265,418,192,"back_to_front"
148,37,4,2,148,339,349,292,539,198,"back_to_front"
222,37,4,3,55,213,256,206,261,183,"back_to_front"
222,37,4,3,110,271,350,258,444,216,"back_to_front"
222,37,4,3,165,357,397,337,706,238,"back_to_front"
222,37,4,3,220,402,528,428,940,372,"back_to_front"
148,37,5,2,37,219,222,181,245,145,"back_to_front"
148,37,5,2,74,260,306,293,325,227,"back_to_front"
148,37,5,2,111,273,351,326,415,229,"back_to_front"
148,37,5,2,148,380,404,353,561,231,"back_to_front"
222,37,5,3,55,250,258,275,274,181,"back_to_front"
222,37,5,3,110,311,340,309,440,236,"back_to_front"
222,37,5,3,165,375,415,388,713,232,"back_to_front"
222,37,5,3,220,430,517,440,982,283,"back_to_front"
156,39,1,2,39,128,136,122,203,80,"back_to_front"
156,39,1,2,78,178,205,180,359,124,"back_to_front"
156,39,1,2,117,237,291,221,529,324,"window_to_isle"
156,39,1,2,156,331,374,271,715,458,"window_to_isle"
234,39,1,3,58,167,184,135,280,87,"back_to_front"
234,39,1,3,116,288,336,222,561,305,"window_to_isle"
234,39,1,3,174,397,473,289,907,612,"window_to_isle"
234,39,1,3,232,515,594,384,1238,971,"window_to_isle"
312,39,1,4,78,198,201,166,394,128,"back_to_front"
312,39,1,4,156,345,437,268,845,524,"window_to_isle"
312,39,1,4,234,584,688,367,1424,1031,"window_to_isle"
312,39,1,4,312,741,937,481,2036,1711,"window_to_isle"
156,39,2,2,39,145,164,134,179,118,"back_to_front"
156,39,2,2,78,200,180,201,341,124,"back_to_front"
156,39,2,2,117,267,293,238,456,177,"back_to_front"
156,39,2,2,156,319,351,306,631,292,"back_to_front"
234,39,2,3,58,164,198,181,258,114,"back_to_front"
234,39,2,3,116,274,290,249,488,161,"back_to_front"
234,39,2,3,174,381,449,308,786,426,"window_to_isle"
234,39,2,3,232,516,590,371,1139,632,"window_to_isle"
312,39,2,4,78,199,198,200,313,128,"back_to_front"
156,39,3,2,39,180,155,154,211,130,"back_to_front"
156,39,3,2,78,230,248,198,294,161,"back_to_front"
156,39,3,2,117,284,296,284,453,175,"back_to_front"
156,39,3,2,156,329,365,299,574,224,"back_to_front"
234,39,3,3,58,193,218,198,297,147,"back_to_front"
234,39,3,3,116,295,309,257,438,177,"back_to_front"
234,39,3,3,174,363,426,338,719,263,"back_to_front"
234,39,3,3,232,458,541,376,1016,475,"window_to_isle"
312,39,3,4,78,227,288,234,349,173,"back_to_front"
156,39,4,2,39,193,223,167,234,195,"window_to_isle"
156,39,4,2,78,264,271,241,293,187,"back_to_front"
