Simulation Results

planeCapacity,numberOfRows,spaceBetweenRows,seatsInHalfRow,numberOfPassengers,random result,aisle_to_window result,window_to_isle result,front_to_back result,back_to_front result,bestSeatingMode
20,5,4,2,15,54,39,26,44,20,"back_to_front"
20,5,4,2,20,54,56,51,80,36,"back_to_front"
30,5,4,3,7,20,32,32,20,37,"random"
30,5,4,3,14,32,40,34,67,27,"back_to_front"
30,5,4,3,21,52,67,44,95,50,"window_to_isle"
30,5,4,3,28,82,94,43,145,66,"window_to_isle"
40,5,4,4,10,34,41,18,28,33,"window_to_isle"
40,5,4,4,20,71,95,45,89,37,"back_to_front"
40,5,4,4,30,59,135,53,140,61,"window_to_isle"
20,5,5,2,5,16,17,28,15,31,"front_to_back"
20,5,5,2,10,35,44,39,43,28,"back_to_front"
20,5,5,2,15,46,43,49,58,44,"aisle_to_window"
20,5,5,2,20,39,69,27,91,37,"window_to_isle"
30,5,5,3,7,29,23,33,30,26,"aisle_to_window"
30,5,5,3,14,43,51,29,55,24,"back_to_front"
30,5,5,3,21,53,69,38,107,48,"window_to_isle"
30,5,5,3,28,52,97,45,132,61,"window_to_isle"
40,5,5,4,10,23,38,27,38,27,"random"
40,5,5,4,20,61,83,36,75,62,"window_to_isle"
40,5,5,4,30,95,103,52,115,64,"window_to_isle"
28,7,1,2,7,26,21,24,44,18,"back_to_front"
28,7,1,2,14,41,46,38,60,31,"back_to_front"
28,7,1,2,21,67,81,48,88,49,"window_to_isle"
28,7,1,2,28,76,95,58,109,80,"window_to_isle"
42,7,1,3,10,42,32,29,49,26,"back_to_front"
42,7,1,3,20,71,70,41,92,63,"window_to_isle"
42,7,1,3,30,117,124,60,173,130,"window_to_isle"
42,7,1,3,40,124,176,78,213,164,"window_to_isle"
56,7,1,4,14,39,57,33,63,44,"window_to_isle"
56,7,1,4,28,114,114,59,132,91,"window_to_isle"
56,7,1,4,42,157,250,77,243,179,"window_to_isle"
56,7,1,4,56,208,300,105,297,308,"window_to_isle"
70,7,1,5,17,44,67,34,100,39,"window_to_isle"
70,7,1,5,68,324,438,129,493,444,"window_to_isle"
28,7,2,2,7,33,36,28,32,24,"back_to_front"
28,7,2,2,14,34,58,32,47,27,"back_to_front"
28,7,2,2,21,62,70,50,102,37,"back_to_front"
28,7,2,2,28,70,83,61,97,64,"window_to_isle"
42,7,2,3,10,27,28,31,43,28,"random"
42,7,2,3,20,61,72,50,74,40,"back_to_front"
42,7,2,3,30,83,107,58,131,96,"window_to_isle"
42,7,2,3,40,120,149,70,153,133,"window_to_isle"
56,7,2,4,14,36,53,35,73,65,"window_to_isle"
56,7,2,4,28,76,95,52,149,53,"window_to_isle"
56,7,2,4,42,125,173,80,225,130,"window_to_isle"
56,7,2,4,56,198,241,89,320,234,"window_to_isle"
70,7,2,5,17,76,58,32,78,49,"window_to_isle"
70,7,2,5,34,106,124,67,192,97,"window_to_isle"
28,7,3,2,7,20,41,14,39,20,"window_to_isle"
28,7,3,2,14,37,48,41,51,34,"back_to_front"
28,7,3,2,21,41,51,57,87,36,"back_to_front"
28,7,3,2,28,58,79,52,103,47,"back_to_front"
42,7,3,3,10,38,42,28,45,17,"back_to_front"
42,7,3,3,20,56,64,33,85,46,"window_to_isle"
42,7,3,3,30,75,94,62,111,64,"window_to_isle"
42,7,3,3,40,99,128,68,150,92,"window_to_isle"
56,7,3,4,14,50,43,39,64,35,"back_to_front"
28,7,4,2,7,23,30,21,21,20,"back_to_front"
28,7,4,2,14,37,41,38,70,45,"random"
28,7,4,2,21,53,58,53,71,42,"back_to_front"
28,7,4,2,28,56,99,55,97,46,"back_to_front"
42,7,4,3,10,42,40,44,30,47,"front_to_back"
42,7,4,3,20,51,61,24,90,41,"window_to_isle"
42,7,4,3,30,76,88,53,130,66,"window_to_isle"
42,7,4,3,40,111,121,79,173,96,"window_to_isle"
56,7,4,4,14,62,30,36,58,42,"aisle_to_window"
70,7,4,5,17,47,64,50,71,43,"back_to_front"
28,7,5,2,7,36,44,16,40,21,"window_to_isle"
28,7,5,2,14,48,62,32,48,27,"back_to_front"
28,7,5,2,21,62,59,45,70,35,"back_to_front"
28,7,5,2,28,53,84,51,91,48,"back_to_front"
42,7,5,3,10,45,30,53,47,20,"back_to_front"
42,7,5,3,20,47,63,37,54,62,"window_to_isle"
42,7,5,3,30,84,100,40,122,68,"window_to_isle"
42,7,5,3,40,98,124,87,167,73,"back_to_front"
56,7,5,4,14,45,43,48,67,33,"back_to_front"
56,7,5,4,28,94,100,51,129,70,"window_to_isle"
70,7,5,5,17,59,64,50,80,57,"window_to_isle"
36,9,1,2,9,38,25,28,39,21,"back_to_front"
36,9,1,2,18,58,52,45,74,39,"back_to_front"
36,9,1,2,27,78,101,65,133,78,"window_to_isle"
36,9,1,2,36,83,128,70,147,104,"window_to_isle"
54,9,1,3,13,41,42,37,60,26,"back_to_front"
54,9,1,3,26,65,108,57,112,60,"window_to_isle"
54,9,1,3,39,117,141,74,233,128,"window_to_isle"
54,9,1,3,52,137,188,98,276,191,"window_to_isle"
72,9,1,4,18,47,63,33,98,34,"window_to_isle"
72,9,1,4,36,128,153,77,186,118,"window_to_isle"
72,9,1,4,54,168,229,97,309,254,"window_to_isle"
72,9,1,4,72,257,389,142,430,378,"window_to_isle"
90,9,1,5,22,59,66,55,129,64,"window_to_isle"
90,9,1,5,44,155,176,87,231,198,"window_to_isle"
36,9,2,2,9,47,23,33,35,26,"aisle_to_window"
36,9,2,2,18,52,52,44,77,35,"back_to_front"
36,9,2,2,27,61,77,53,83,54,"window_to_isle"
36,9,2,2,36,95,100,63,148,75,"window_to_isle"
54,9,2,3,13,54,57,37,55,34,"back_to_front"
54,9,2,3,26,60,78,59,95,43,"back_to_front"
54,9,2,3,39,100,110,75,178,103,"window_to_isle"
54,9,2,3,52,119,167,94,189,139,"window_to_isle"
72,9,2,4,18,47,54,50,61,33,"back_to_front"
72,9,2,4,36,112,133,61,152,98,"window_to_isle"
72,9,2,4,72,187,301,124,412,321,"window_to_isle"
90,9,2,5,22,72,88,41,101,49,"window_to_isle"
36,9,3,2,9,42,51,42,24,13,"back_to_front"
36,9,3,2,18,48,61,49,71,49,"random"
36,9,3,2,27,71,76,55,106,45,"back_to_front"
36,9,3,2,36,79,90,72,118,61,"back_to_front"
54,9,3,3,13,42,37,45,50,31,"back_to_front"
54,9,3,3,26,74,84,56,112,54,"back_to_front"
54,9,3,3,39,91,125,69,167,66,"back_to_front"
54,9,3,3,52,118,127,91,239,125,"window_to_isle"
72,9,3,4,18,56,55,46,78,37,"back_to_front"
72,9,3,4,54,138,188,80,247,93,"window_to_isle"
90,9,3,5,66,177,270,105,332,213,"window_to_isle"
36,9,4,2,9,48,33,41,34,43,"aisle_to_window"
36,9,4,2,18,46,79,57,69,52,"random"
